Mi estas feliĉa; ĉar mi havas amikojn.
La suno brilas; kiam la ĉielo estas blua.
Kiam mi kuras; mi sentas min libera.
Mia patro estas saĝa; ĉar li legis multajn librojn.
Hundoj ŝatas boji; kiam ili vidas katojn.
Vi estas bela; ĉar vi ridas sincere.
Ŝi lernas rapide; do ŝi estas en avancita klaso.
Kiam vi kantas; la mondo aŭdas vin.
Mia amiko estas amuza; ĉar li faras strangajn mimojn.
Vi estas forta; do vi povas levi pezan ŝarĝon.
Se vi studas; vi certe sukcesos.
Kiam pluvas; la floroj kreskas.
La filmo estas bona; ĝi havas interesan intrigon.
La maro estas salta; ĉar ĝi enhavas multan da salon.
Ni iros eksteren; se la vetero permesos.
Kiam li dormas; li sonĝas pri aventuroj.
Mi amas vin; kaj tiu sento estas eterna.
Kiam mi legas; mi vojaĝas per la menso.
Ŝi estas talenta; do ŝi gajnis la konkurson.
Mi estas kontenta; ĉar mi finis mian laboron.
Kiam ŝi dancas; ĉiuj rigardas ŝin.
Vi devas manĝi; se vi volas kreski.
La luno estas plena; do la nokto estas hela.
Kiam vi desegnas; via kreaĵo viviĝas.
Li estas timida; sed li provas esti kuraĝa.
Mia frato estas inteligenta; li solvas problemojn rapide.
Ŝi kuiras bone; do ĉiuj ŝatas ŝian manĝon.
Ni estas feliĉaj; ĉar ni estas kune.
La infanoj ludas; dum iliaj gepatroj parolas.
