patro sinjorino;La ___ estas sinjoro Lang, kaj la patrino estas ___ Lang.@The father is Mr Lang, and the mother is Mrs Lang.
Jen de familio;___ la domo __ la ___ Lang.@Here is the house of the Lang family.
En kiu la ludas;___ ___ ĉambro __ infanoj ___? @In which room do the children sleep?
patro  en;La ___ estas ___ la domo. @The father is in the house.
kuŝas;La hundo ___ sub la tablo. @The dog is lying under the table.
kato malantaŭ;La ___ kuŝas ___ la domo. @The cat lies behind the house.
filino vespera;La ___ partoprenas en la ___ ceremonio. @The daughter participates in the evening ceremony.
knabino sian;La ___ helpas ___ avinon. @The girl helps her grandmother.
patrino post;La ___ renkontas sian ___ la lecionoj. @The mother meets her son after lessons.
gepatroj rigardas;La ___ ___ televidon. @The parents are watching TV.
viro estas;La ___ ___ en la parko. @The man is in the park.
tablo sub;La ___ staras ___ la fenestro. @The table stands under the window.
kato malantaŭ;La ___ kuris ___ la arbo. @The cat ran behind the tree.
filino vespera;La ___ parolas dum la ___ horo. @The daughter talks during the evening hour.
knabino sian;La ___ trovis ___ ludilon. @The girl found her toy.
patrino post;La ___ iras ___ la infanoj. @The mother goes after the children.
gepatroj rigardas;La ___ kun ___ intereso. @The parents watch with great interest.
pomo;Li metis ___ sur la tablon. @He put an apple on the table.
aŭtomobilo nun;La ___ moviĝas ___ rapide. @The car is moving now quickly.
banejo antaŭ;La ___ purigis ___ la festo. @The bathroom cleaned before the party.
kafejo estis;La ___ ___ malfermita hieraŭ. @The cafe was open yesterday.
knabino la;La ___ kuras post ___ hundo. @The girl runs after the dog.
viro ludi;La ___ povas ___ la ŝakon. @The man can play chess.
patro estas;La ___ ___ hejme. @The father is at home.
banejo domo;La ___ estas parto de la ___. @The bathroom is part of the house.
knabino ludi;La ___ amas ___ en la parko. @The girl loves to play in the park.
viro tablo;La ___ sidas ĉe la ___ kaj manĝas. @The man sits at the table and eats.
filo kato;La ___ kaj la ___ ludas kune. @The son and the cat play together.
hundo meblo;La ___ kuŝas apud la ___. @The dog lies next to the furniture.
patrino filino;La ___ kaj la ___ bakas kukojn. @The mother and the daughter are baking cookies.
lernejo knabino;La ___ estas kie la ___ lernas. @The school is where the girl learns.
kafejo kafo;La ___ servas bonegan ___. @The cafe serves excellent coffee.
aŭtomobilo strato;La ___ veturas rapide sur la ___. @The car is driving fast on the street.
preĝejo Dio;La ___ estas loko, kie homoj preĝas al ___. @The church is a place where people pray to God.
salono amiko;La ___ estas loko, kie mi renkontas miajn ___. @The lounge is a place where I meet my friends.
infano ĉambro;La ___ estas en la ___. @The child is playing in the room.
meblo hundejo;La ___ estas tro granda por la ___. @The furniture is too big for the kennel.
viro knabino;La ___ kaj la ___ dancas. @The man and the girl are dancing.
tablo manĝo;La ___ estas preta por la ___. @The table is set for the meal.
kato patrino;La ___ kaj la ___ dormas. @The cat and the mother are sleeping.
filo preĝi;La ___ komencas ___ antaŭ la vespermanĝo. @The son starts to pray before dinner.
banejo knabo;La ___ estas varma por la ___. @The bathroom is warm for the boy.
hundo kafo;La ___ trinkas ___ kiam oni forlasas la tason. @The dog drinks coffee when no one is looking.
